episode,steps,reward_0,reward_1,reward_2,collisions_0,collisions_1,collisions_2
50,20,-0.16638196697666457,-0.16638196697666457,-4.9480035001358731,0.0,0.0,0.0
51,40,-0.18170290529972616,-0.18170290529972616,-2.5120510854662847,0.0,0.0,0.0
52,4,-25.319867312843844,-0.31986731284384179,0.33952549631667711,0.0,0.0,0.0
53,30,-0.12236887932428182,-0.12236887932428182,-2.1849297747914349,0.0,0.0,0.0
54,2,-50.182752096914392,-0.18275209691438576,0.2326150386654145,0.0,0.0,0.0
55,12,-8.4789693090035083,-0.14563597567017547,0.15885243891144687,0.0,0.0,0.0
56,4,-0.21340708361413824,-0.21340708361413824,-26.523758897823289,0.0,0.0,0.0
57,12,-8.5238341789601488,-0.19050084562681616,0.20992467424196715,0.0,0.0,0.0
58,22,-0.25332894210977347,-0.25332894210977347,-4.6413580001942671,0.0,0.0,0.0
59,24,-0.2105606732373905,-0.2105606732373905,-4.3672242693728238,0.0,0.0,0.0
60,5,-0.19314135242230382,-0.19314135242230382,-20.42511657613073,0.0,0.0,0.0
61,26,-0.26604641321788358,-0.26604641321788358,-2.3215952702544902,0.0,0.0,0.0
62,7,-14.570219479545745,-0.28450519383146,0.32754542673042525,0.0,0.0,0.0
63,4,-0.1983300922279187,-25.19833009222792,0.23038563785797916,0.0,0.0,0.0
64,10,-0.27264091942342483,-0.27264091942342483,-10.299865876197012,0.0,0.0,0.0
65,106,1.7283572240615099,1.7283572240615099,-2.3671642950293035,0.0,2.0,2.0
66,5,-0.14808271829163688,-0.14808271829163688,-20.837915385793135,0.0,0.0,0.0
67,30,-0.19376350822305738,-3.5270968415563906,1.5422165319337593,0.0,0.0,0.0
68,46,-0.18853059128816882,-2.3624436347664299,0.21871970002673113,0.0,0.0,0.0
69,1,-100.19286278057928,-0.19286278057927522,0.20925740698028583,0.0,0.0,0.0
70,7,-14.597989721972821,-0.31227543625853466,0.31997621626936906,0.0,0.0,0.0
71,10,-0.21664935436463559,-10.216649354364638,4.2620883617708394,0.0,0.0,0.0
72,25,-0.13148494411836345,-0.13148494411836345,-4.0379235583900162,0.0,0.0,0.0
73,14,-7.3949016002806323,-0.25204445742348958,0.26784767903971884,0.0,0.0,0.0
74,51,-0.16973182889426078,1.7910524848312295,-1.7730695214212324,0.0,1.0,1.0
75,76,2.5178539242749163,2.5178539242749163,-3.8722987920346381,0.0,2.0,2.0
76,28,-0.27105734535071713,-0.27105734535071713,-3.5775518997559148,0.0,0.0,0.0
77,25,-0.25527779311392457,-0.25527779311392457,-3.8497429840944091,0.0,0.0,0.0
78,3,-0.23433925659540125,-0.23433925659540125,-34.693820187301071,0.0,0.0,0.0
79,58,-0.15998204198258664,-0.15998204198258664,-1.5747528948034675,0.0,0.0,0.0
80,46,6.3269061742168757,6.3269061742168757,-8.7723266462248972,3.0,0.0,3.0
81,8,-12.669160119970231,-0.16916011997023109,0.19151485816646457,0.0,0.0,0.0
82,4,-0.13288878657194442,-0.13288878657194442,-26.46630974971816,0.0,0.0,0.0
83,4,-0.28353437272352533,-0.28353437272352533,-26.046908070377874,0.0,0.0,0.0
84,8,-12.770691200171703,-0.27069120017170295,0.28660554885311862,0.0,0.0,0.0
85,7,-0.22321718584804748,-0.22321718584804748,-14.800151952586708,0.0,0.0,0.0
86,1,-0.19230439794529608,-0.19230439794529608,-101.87110113243938,0.0,0.0,0.0
87,10,-0.2797739440821112,-0.2797739440821112,-10.132936243591825,0.0,0.0,0.0
